customer_id,predicted_value
12346.0,2202.84
12347.0,1560.52
12348.0,281.61
12349.0,709.94
12350.0,21.64
12351.0,37.01
12352.0,670.69
12353.0,80.95
12354.0,88.64
12355.0,127.31
12356.0,1461.63
12357.0,6450.74
12358.0,889.01
12359.0,1471.8
12360.0,1147.09
12361.0,18.11
12362.0,793.12
12363.0,291.03
12364.0,467.84
12365.0,122.45
12366.0,76.66
12367.0,478.06
12368.0,96.09
12369.0,36.64
12370.0,1119.6
12371.0,1053.42
12372.0,474.29
12373.0,268.91
12374.0,915.15
12375.0,359.26
12376.0,64.79
12377.0,794.76
12378.0,1360.29
12379.0,122.96
12380.0,2490.1
12381.0,791.56
12383.0,922.58
12384.0,566.44
12385.0,293.5
12386.0,270.99
12387.0,18.25
12388.0,1213.38
12389.0,167.94
12390.0,438.76
12391.0,413.25
12392.0,184.28
12393.0,641.13
12394.0,478.82
12395.0,1428.64
12396.0,51.1
12397.0,207.15
12398.0,756.42
12399.0,554.79
12400.0,8.04
12401.0,13.9
12402.0,29.03
12403.0,79.68
12404.0,6.5
12405.0,171.1
12406.0,493.17
12407.0,797.85
12408.0,1619.64
12409.0,4875.57
12410.0,58.43
12411.0,20.3
12412.0,666.42
12413.0,213.62
12414.0,100.97
12415.0,65307.16
12416.0,14.27
12417.0,2022.24
12418.0,184.89
12419.0,55.2
12420.0,114.95
12421.0,480.48
12422.0,1695.41
12423.0,1250.52
12424.0,1461.33
12425.0,351.84
12426.0,673.84
12427.0,429.29
12428.0,3696.37
12429.0,2591.94
12430.0,263.56
12431.0,2447.47
12432.0,345.02
12433.0,4501.78
12434.0,182.2
12435.0,2196.02
12436.0,323.02
12437.0,5577.2
12438.0,465.6
12439.0,22.75
12440.0,77.64
12441.0,84.82
12442.0,407.27
12443.0,46.1
12444.0,486.23
12445.0,324.85
12446.0,543.94
12447.0,39.42
12448.0,506.7
12449.0,1917.87
12450.0,174.38
12451.0,4485.19
12452.0,119.22
12453.0,255.98
12454.0,3643.59
12455.0,1353.84
12456.0,1007.07
12457.0,881.78
12458.0,184.72
12459.0,28.06
12460.0,17.51
12461.0,152.06
12462.0,164.17
12463.0,520.36
12464.0,538.03
12465.0,159.78
12466.0,24.07
12467.0,75.27
12468.0,469.94
12469.0,152.34
12470.0,28.14
12471.0,17730.72
12472.0,3802.12
12473.0,236.3
12474.0,4008.94
12475.0,177.75
12476.0,3550.44
12477.0,5533.91
12478.0,401.63
12479.0,778.68
12480.0,1001.75
12481.0,2884.14
12482.0,32.66
12483.0,1808.79
12484.0,1555.47
12485.0,149.5
12486.0,9.75
12487.0,91.44
12488.0,625.75
12489.0,27.11
12490.0,1850.53
12491.0,799.8
12492.0,233.35
12493.0,352.2
12494.0,487.11
12495.0,22.17
12496.0,3.08
12497.0,541.93
12498.0,52.44
12499.0,41.05
12500.0,2286.98
12501.0,293.56
12502.0,1007.32
12503.0,71.39
12504.0,215.58
12505.0,53.69
12506.0,40.63
12507.0,101.22
12508.0,283.96
12509.0,11.49
12510.0,747.29
12511.0,438.54
12512.0,63.47
12513.0,270.67
12514.0,823.86
12515.0,23.6
12516.0,573.02
12517.0,909.6
12518.0,817.85
12519.0,171.94
12520.0,1319.34
12521.0,243.27
12522.0,130.77
12523.0,785.7
12524.0,3424.9
12525.0,41.29
12526.0,705.88
12527.0,249.02
12528.0,993.73
12529.0,30.26
12530.0,940.9
12531.0,984.26
12532.0,352.8
12533.0,28.36
12534.0,170.57
12535.0,181.89
12536.0,6681.27
12537.0,102.63
12538.0,193.09
12539.0,2091.94
12540.0,10164.56
12541.0,399.79
12542.0,61.84
12543.0,21.22
12544.0,171.8
12545.0,88.44
12546.0,630.82
12547.0,78.49
12548.0,105.3
12549.0,3.3
12550.0,415.34
12551.0,5.97
12552.0,82.16
12553.0,1698.69
12554.0,36.19
12555.0,9.85
12556.0,298.16
12557.0,4885.31
12558.0,143.77
12559.0,125.58
12560.0,842.54
12561.0,10.74
12562.0,1257.44
12563.0,70.96
12564.0,245.49
12565.0,29.64
12566.0,136.76
12567.0,4375.68
12568.0,2.07
12569.0,3024.45
12570.0,3.94
12571.0,161.95
12572.0,877.48
12573.0,46.49
12574.0,2.11
12575.0,49.74
12576.0,785.41
12577.0,194.71
12578.0,262.01
12579.0,222.99
12580.0,494.9
12581.0,284.18
12582.0,233.58
12583.0,5214.88
12584.0,1062.28
12585.0,853.8
12586.0,233.9
12587.0,75.37
12588.0,723.34
12589.0,1147.07
12590.0,1355.19
12591.0,122.32
12592.0,495.05
12593.0,58.4
12594.0,2630.94
12595.0,11.29
12596.0,518.16
12597.0,1216.5
12598.0,1850.37
12599.0,303.51
12600.0,2171.56
12601.0,101.72
12602.0,285.81
12603.0,730.0
12604.0,19.84
12605.0,148.36
