customer_id,recency,frequency,monetary,tenure,avg_order_value,n_items,n_products,purchase_rate,avg_gap,future_value
12346.0,142,12,77556.46,542,6463.038333333334,74285,27,0.6642066420664207,45.166666666666664,0.0
12347.0,63,4,3146.75,221,786.6875,1945,90,0.5429864253393666,55.25,2486.57
12348.0,65,4,1709.4,255,427.35,2497,25,0.47058823529411764,63.75,310.0
12349.0,224,3,2671.14,406,890.38,993,90,0.22167487684729062,135.33333333333334,1757.55
12350.0,127,1,334.4,127,334.4,197,17,0.23622047244094488,127.0,0.0
12351.0,192,1,300.93,192,300.93,261,21,0.15625,192.0,0.0
12352.0,79,7,1905.61,209,272.22999999999996,442,38,1.0047846889952154,29.857142857142858,944.23
12353.0,21,2,406.76,225,203.38,212,23,0.26666666666666666,112.5,0.0
12354.0,49,1,1079.4,49,1079.4,530,58,0.6122448979591836,49.0,0.0
12355.0,31,2,947.61,384,473.805,543,35,0.15625,192.0,0.0
12356.0,62,5,6315.33,241,1263.066,3412,104,0.6224066390041494,48.2,58.349999999999994
12357.0,205,2,12079.99,205,6039.995,3879,165,0.2926829268292683,102.5,6207.67
12358.0,192,3,2719.01,548,906.3366666666667,831,52,0.1642335766423358,182.66666666666666,1168.06
12359.0,6,9,6059.09,551,673.2322222222223,2095,230,0.4900181488203266,61.22222222222222,2876.85
12360.0,17,6,2674.41,472,445.73499999999996,1728,108,0.38135593220338987,78.66666666666667,1578.48
12361.0,104,4,511.25,499,127.8125,235,18,0.24048096192384769,124.75,0.0
12362.0,42,3,1104.34,555,368.1133333333333,505,52,0.16216216216216217,185.0,4251.89
12363.0,59,1,299.1,59,299.1,282,16,0.5084745762711864,59.0,252.9
12365.0,108,2,641.38,108,320.69,174,22,0.5555555555555556,54.0,0.0
12366.0,450,1,500.24,450,500.24,296,3,0.06666666666666667,450.0,0.0
12368.0,445,1,917.6999999999999,445,917.6999999999999,330,18,0.06741573033707866,445.0,0.0
12369.0,230,3,1791.15,458,597.0500000000001,1241,90,0.1965065502183406,152.66666666666666,0.0
12370.0,91,6,3581.03,485,596.8383333333334,2225,150,0.37113402061855666,80.83333333333333,739.28
12371.0,226,3,2179.42,462,726.4733333333334,845,91,0.19480519480519481,154.0,1887.96
12372.0,29,2,914.9200000000001,113,457.46000000000004,592,32,0.5309734513274336,56.5,383.12
12373.0,128,3,1127.65,490,375.8833333333334,516,36,0.18367346938775508,163.33333333333334,0.0
12374.0,238,3,2246.29,405,748.7633333333333,1020,47,0.22222222222222224,135.0,742.9300000000001
12376.0,206,2,503.15,234,251.575,240,11,0.25641025641025644,117.0,0.0
12377.0,132,4,3426.32,406,856.58,2105,129,0.2955665024630542,101.5,0.0
12378.0,379,1,1407.7,379,1407.7,787,82,0.07915567282321899,379.0,4008.62
12379.0,239,2,767.98,351,383.99,408,37,0.17094017094017094,175.5,852.24
12380.0,2,8,7559.04,479,944.88,2521,125,0.5010438413361169,59.875,2117.26
12383.0,1,5,1850.56,169,370.11199999999997,1532,84,0.8875739644970414,33.8,0.0
12385.0,196,1,1938.4,196,1938.4,612,65,0.1530612244897959,196.0,0.0
12386.0,154,2,660.8,183,330.4,568,10,0.32786885245901637,91.5,0.0
12387.0,232,1,143.94,232,143.94,134,9,0.12931034482758622,232.0,0.0
12388.0,92,5,1886.7,399,377.34000000000003,870,52,0.37593984962406013,79.8,2014.41
12389.0,219,3,1433.33,472,477.77666666666664,614,41,0.19067796610169493,157.33333333333334,0.0
12391.0,281,5,2312.53,479,462.50600000000003,920,159,0.31315240083507306,95.8,460.89
